Year,Advancement
2008,Launch of Grand Theft Auto IV
2009,Release of Unity 2.5
2010,Introduction of DirectX 11
2011,Launch of Minecraft
2012,Introduction of Unreal Engine 4
2013,Launch of Nintendo 3DS
2014,Introduction of PlayStation 4
2015,Launch of Xbox One
2016,Release of Unity 5
2017,Introduction of PlayStation VR
2018,Launch of Nintendo Switch
2019,Introduction of DirectX 12
2020,Release of Unreal Engine 5
2021,Launch of PlayStation 5
2022,Introduction of Xbox Series X
2023,Launch of Steam Deck
2024,Introduction of Unreal Engine 6
